Dataset,Kaggle_Slug,Type,Num_Classes,Total_Images,Resolution,Avg_Size_MB,Total_Size_MB,Total_Size_GB,Classes,Per_Class_Counts,Root_Path,Images_Folder,Notes
abhinav099802 - Original,abhinav099802/eye-disease-image-dataset,folder_based,10,0,,0,1686.5,1.65,Central Serous Chorioretinopathy | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,,/kaggle/input/datasets/abhinav099802/eye-disease-image-dataset/data/Original_Dataset,/kaggle/input/datasets/abhinav099802/eye-disease-image-dataset/data/Original_Dataset,Original (non-augmented)
abhinav099802 - Augmented,abhinav099802/eye-disease-image-dataset,folder_based,10,0,,0,2380.9,2.33,Central Serous Chorioretinopathy | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,,/kaggle/input/datasets/abhinav099802/eye-disease-image-dataset/data/Augmented_Dataset,/kaggle/input/datasets/abhinav099802/eye-disease-image-dataset/data/Augmented_Dataset,Augmented version
linabennaa - Original,linabennaa/original-eye-disease-image-dataset-mendeley,folder_based,10,0,,0,1686.5,1.65,CSCR_Color Fundus | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,,/kaggle/input/datasets/linabennaa/original-eye-disease-image-dataset-mendeley/Original Dataset,/kaggle/input/datasets/linabennaa/original-eye-disease-image-dataset-mendeley/Original Dataset,Original Mendeley
linabennaa - Augmented,linabennaa/eye-disease-image-dataset-mendeley,folder_based,10,0,,0,2380.9,2.33,Central Serous Chorioretinopathy_Color Fundus | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,,/kaggle/input/datasets/linabennaa/eye-disease-image-dataset-mendeley/Augmented Dataset,/kaggle/input/datasets/linabennaa/eye-disease-image-dataset-mendeley/Augmented Dataset,Augmented version
linabennaa - Balanced,linabennaa/balanced-eye-disease-image-dataset-mendeley,folder_based,10,0,,0,1924.0,1.88,CSCR Color Fundus | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,,/kaggle/input/datasets/linabennaa/balanced-eye-disease-image-dataset-mendeley/Augmented Dataset Balanced,/kaggle/input/datasets/linabennaa/balanced-eye-disease-image-dataset-mendeley/Augmented Dataset Balanced,Balanced augmented
shufanshahi - Original,shufanshahi/eye-disease-image-dataset,folder_based,10,0,,0,1686.5,1.65,Central Serous Chorioretinopathy | Diabetic Retinopathy | Disc Edema | Glaucoma | Healthy | Macular Scar | Myopia | Pterygium | Retinal Detachment | Retinitis Pigmentosa,,/kaggle/input/datasets/shufanshahi/eye-disease-image-dataset/Eye Disease Image Dataset/Original Dataset,/kaggle/input/datasets/shufanshahi/eye-disease-image-dataset/Eye Disease Image Dataset/Original Dataset,Original version
